Month,CustID-q,Quantity,CustID-f,Frequency
April 2011,13089,12,14298,13662
April 2011,15311,10,16333,11792
April 2011,14606,9,13027,5040
April 2011,16333,9,17381,4117
April 2011,17841,8,18079,3843
April 2011,13798,8,16684,3500
April 2011,14298,7,13694,3311
April 2011,13113,7,15311,2807
April 2011,13767,7,13798,2342
April 2011,13694,7,16422,2300
April 2011,15189,7,17857,2068
April 2011,12748,6,14286,1998
April 2011,13408,6,17450,1920
April 2011,12971,6,15251,1918
April 2011,15005,5,12901,1898
April 2011,16033,5,15939,1864
April 2011,17061,5,17511,1848
April 2011,14527,5,13209,1697
April 2011,16422,5,16133,1547
April 2011,13534,5,13089,1440
April 2011,16919,4,13408,1350
April 2011,13668,4,14258,1296
April 2011,16133,4,17940,1296
April 2011,13134,4,13098,1283
April 2011,16729,4,17735,1220
April 2011,15039,4,13018,1214
April 2011,13263,4,12931,1176
April 2011,13018,4,15665,1174
April 2011,17874,4,16729,1147
April 2011,14502,4,13324,1094
April 2011,13184,4,13082,990
April 2011,14339,4,17841,979
April 2011,13069,4,17160,951
April 2011,13266,4,15856,930
April 2011,17725,4,16553,906
April 2011,16672,4,15039,894
April 2011,12901,4,12949,891
April 2011,13098,4,15874,888
April 2011,13078,4,15622,878
April 2011,13468,4,15985,878
April 2011,17381,4,13989,869
April 2011,17243,4,13198,835
April 2011,15465,4,18092,832
April 2011,17735,3,13952,826
April 2011,16713,3,14062,818
April 2011,16187,3,16187,810
April 2011,18118,3,17389,804
April 2011,17530,3,14105,800
April 2011,18116,3,18272,776
April 2011,14711,3,16656,772
April 2011,15622,3,13266,749
April 2011,17675,3,13692,734
April 2011,13854,3,17596,729
April 2011,17204,3,13265,720
April 2011,15674,3,13269,711
April 2011,13230,3,18226,708
April 2011,16558,3,16180,698
April 2011,15805,3,13124,693
April 2011,12949,3,16029,692
April 2011,17613,3,15640,684
April 2011,17180,3,14195,678
April 2011,16933,3,15237,670
April 2011,15581,3,13458,657
April 2011,18177,3,17675,628
April 2011,14211,3,13184,622
April 2011,15615,3,18008,622
April 2011,14189,3,17719,612
April 2011,13015,3,13767,605
April 2011,15223,3,13771,588
April 2011,16553,3,17061,586
April 2011,14961,3,14961,586
April 2011,13082,3,13263,585
April 2011,17961,3,14844,582
April 2011,14735,3,14060,565
April 2011,13102,3,15805,562
April 2011,17069,3,17920,560
April 2011,14032,3,17669,554
April 2011,16837,3,17428,546
April 2011,16592,3,18198,544
