Month,Products-q,Quantity,Products-f,Frequency,Products-s,Sales
April 2011,WORLD WAR 2 GLIDERS ASSTD DESIGNS,9471,PARTY BUNTING,188,REGENCY CAKESTAND 3 TIER,13334.55
April 2011,PACK OF 72 RETROSPOT CAKE CASES,2708,WHITE HANGING HEART T-LIGHT HOLDER,180,PARTY BUNTING,10214.97
April 2011,BALLOON WATER BOMB PACK OF 35,2644,REGENCY CAKESTAND 3 TIER,162,PAPER CHAIN KIT EMPIRE,6622.46
April 2011,GROW A FLYTRAP OR SUNFLOWER IN TIN,2561,PAPER CHAIN KIT EMPIRE,159,WHITE HANGING HEART T-LIGHT HOLDER,5034.34
April 2011,ASSORTED COLOUR BIRD ORNAMENT,2468,JUMBO BAG RED RETROSPOT,115,JUMBO BAG RED RETROSPOT,4335.52
April 2011,PAPER CHAIN KIT EMPIRE,2422,ASSORTED COLOUR BIRD ORNAMENT,115,WOODEN UNION JACK BUNTING,4173.18
April 2011,PACK OF 60 PINK PAISLEY CAKE CASES,2353,PACK OF 72 RETROSPOT CAKE CASES,114,ASSORTED COLOUR BIRD ORNAMENT,4018.76
April 2011,60 TEATIME FAIRY CAKE CASES,2210,WOODEN UNION JACK BUNTING,108,PAPER BUNTING WHITE LACE,3374.84
April 2011,JUMBO BAG RED RETROSPOT,2152,LUNCH BAG RED RETROSPOT,101,GROW A FLYTRAP OR SUNFLOWER IN TIN,2856.45
April 2011,PACK OF 12 LONDON TISSUES ,2130,SET OF 4 PANTRY JELLY MOULDS,99,ALARM CLOCK BAKELIKE RED ,2852.29
April 2011,ASSORTED COLOURS SILK FAN,1930,PAPER BUNTING RETROSPOT,92,TEA TIME TEA TOWELS ,2730
April 2011,WHITE HANGING HEART T-LIGHT HOLDER,1892,LUNCH BAG SUKI DESIGN ,87,PAPER BUNTING RETROSPOT,2288.02
April 2011,VICTORIAN GLASS HANGING T-LIGHT,1846,NATURAL SLATE HEART CHALKBOARD ,87,PICNIC BASKET WICKER LARGE,2255.81
April 2011,PARTY BUNTING,1807,ROSES REGENCY TEACUP AND SAUCER ,86,VICTORIAN GLASS HANGING T-LIGHT,2223.2
April 2011,COLOUR GLASS T-LIGHT HOLDER HANGING,1791,VICTORIAN GLASS HANGING T-LIGHT,85,ALARM CLOCK BAKELIKE PINK,2188.42
April 2011,HANGING JAM JAR T-LIGHT HOLDER,1754,PLEASE ONE PERSON METAL SIGN,84,LUNCH BAG RED RETROSPOT,2157.79
April 2011,PACK OF 72 SKULL CAKE CASES,1713,GREEN REGENCY TEACUP AND SAUCER,84,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2114.25
April 2011,TRAVEL CARD WALLET KEEP CALM,1694,60 TEATIME FAIRY CAKE CASES,82,LONDON BUS COFFEE MUG,2051.85
April 2011,SMALL POPCORN HOLDER,1648,JUMBO STORAGE BAG SUKI,80,DOORMAT UNION FLAG,2019.47
April 2011,"ASSORTED FLOWER COLOUR ""LEIS""",1386,PICNIC BASKET WICKER LARGE,80,JUMBO BAG APPLES,2000.41
April 2011,TEA TIME TEA TOWELS ,1300,COLOUR GLASS T-LIGHT HOLDER HANGING,80,LUNCH BAG APPLE DESIGN,1926.77
April 2011,RED  HARMONICA IN BOX ,1265,PAPER BUNTING WHITE LACE,79,NATURAL SLATE HEART CHALKBOARD ,1924.51
April 2011,LUNCH BAG APPLE DESIGN,1249,JUMBO BAG PINK POLKADOT,78,WOODEN ROUNDERS GARDEN SET ,1824.33
